#no_DFH_Pico	C	H_max	P_col_DFH	P_col_AFH	P_col_Avg
1 ch40 hmax2 0.046652 0.292621 0.268024
2 ch40 hmax2 0.066972 0.289730 0.245179
3 ch40 hmax2 0.060763 0.272185 0.208758
4 ch40 hmax2 0.048692 0.251296 0.170255
5 ch40 hmax2 0.049392 0.239379 0.144385
6 ch40 hmax2 0.045960 0.223402 0.116937
7 ch40 hmax2 0.079019 0.173993 0.107512
8 ch40 hmax2 0.060699 0.158773 0.080314
9 ch40 hmax2 0.048034 0.094606 0.052691
