#no_DFH_Pico	C	H_max	P_col_DFH	P_col_AFH	P_col_Avg
1 ch40 hmax3 0.073253 0.291354 0.269544
2 ch40 hmax3 0.064298 0.273740 0.231852
3 ch40 hmax3 0.065088 0.273335 0.210861
4 ch40 hmax3 0.060679 0.257019 0.178483
5 ch40 hmax3 0.077240 0.251857 0.164548
6 ch40 hmax3 0.100412 0.231681 0.152920
7 ch40 hmax3 0.071075 0.191958 0.107340
8 ch40 hmax3 0.077117 0.163381 0.094370
9 ch40 hmax3 0.086297 0.127813 0.090449
