#no_DFH_Pico	C	H_max	P_col_DFH	P_col_AFH	P_col_Avg
1 ch79 hmax5 0.036475 0.128305 0.119122
2 ch79 hmax5 0.031884 0.121593 0.103652
3 ch79 hmax5 0.024542 0.108875 0.083575
4 ch79 hmax5 0.021402 0.091532 0.063480
5 ch79 hmax5 0.022407 0.078448 0.050428
6 ch79 hmax5 0.014892 0.073453 0.038317
7 ch79 hmax5 0.017623 0.051677 0.027839
8 ch79 hmax5 0.007520 0.021194 0.010255
9 ch79 hmax5 0.009865 0.024217 0.011300
