#no_DFH_Pico	C	H_max	P_col_DFH	P_col_AFH	P_col_Avg
1 ch79 hmax3 0.032379 0.130441 0.120634
2 ch79 hmax3 0.030316 0.127006 0.107668
3 ch79 hmax3 0.025603 0.101543 0.078761
4 ch79 hmax3 0.022658 0.086093 0.060719
5 ch79 hmax3 0.016167 0.068765 0.042466
6 ch79 hmax3 0.016053 0.056756 0.032334
7 ch79 hmax3 0.009454 0.043316 0.019613
8 ch79 hmax3 0.010103 0.036624 0.015407
9 ch79 hmax3 0.005577 0.024783 0.007497
