#no_DFH_Pico	C	H_max	P_col_DFH	P_col_AFH	P_col_Avg
1 ch79 hmax2 0.029753 0.136296 0.125642
2 ch79 hmax2 0.023419 0.118738 0.099674
3 ch79 hmax2 0.023677 0.100953 0.077770
4 ch79 hmax2 0.018245 0.090371 0.061521
5 ch79 hmax2 0.018870 0.080992 0.049931
6 ch79 hmax2 0.011086 0.065862 0.032996
7 ch79 hmax2 0.011203 0.037495 0.019090
8 ch79 hmax2 0.009844 0.033487 0.014573
9 ch79 hmax2 0.009527 0.017758 0.010350
